"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.986370600E-1,1.563234138E1,3.548206806E0,1.923322105E1,2.503750508E1
4.006505260E-1,1.557248688E1,3.457227230E0,1.872086143E1,2.459523166E1
4.026640260E-1,1.563712978E1,3.392583847E0,1.819653130E1,2.423103803E1
4.046775920E-1,1.579514694E1,3.378218651E0,1.765544128E1,2.392934673E1
4.066911920E-1,1.588373280E1,3.392583847E0,1.740644455E1,2.380728680E1
4.087048920E-1,1.607048035E1,3.483563423E0,1.689408493E1,2.357553092E1
4.107186250E-1,1.623328590E1,3.648763418E0,1.643679237E1,2.338805655E1
4.127323580E-1,1.629314041E1,3.739742994E0,1.623807526E1,2.330508936E1
4.147461580E-1,1.639609146E1,3.964797974E0,1.587654972E1,2.316497937E1
4.167598910E-1,1.642242813E1,4.182670593E0,1.554615021E1,2.299725343E1
4.187735910E-1,1.640088081E1,4.283226967E0,1.540728664E1,2.290675460E1
4.207872910E-1,1.629074669E1,4.393360138E0,1.513195324E1,2.266420195E1
4.228009910E-1,1.607287407E1,4.378994942E0,1.482549572E1,2.230040809E1
4.248147240E-1,1.575923443E1,4.309563160E0,1.465041924E1,2.194448879E1
4.268284570E-1,1.556530380E1,4.082113743E0,1.429368305E1,2.152328298E1
4.288421570E-1,1.513674164E1,3.699041605E0,1.389385128E1,2.087685224E1
4.308558570E-1,1.464802551E1,3.229778051E0,1.345810699E1,2.015233886E1
4.328695230E-1,1.438945103E1,2.997540474E0,1.322108078E1,1.976963648E1
4.348831890E-1,1.355148125E1,2.236184359E0,1.267520332E1,1.868967479E1
4.368985550E-1,1.327854156E1,1.972822189E0,1.253394508E1,1.836604129E1
4.389140210E-1,1.303193951E1,1.695094824E0,1.241902351E1,1.808139759E1
4.409295540E-1,1.270393372E1,1.086967587E0,1.227537155E1,1.769904453E1
4.429450870E-1,1.215326691E1,5.698199868E-1,1.215326691E1,1.719675806E1
4.449606530E-1,1.171991634E1,3.615244627E-1,1.209101772E1,1.684279812E1
4.469761860E-1,1.076463032E1,2.633621916E-2,1.192102909E1,1.606203269E1
4.489917190E-1,1.002961063E1,-2.753331959E-1,1.162654305E1,1.535725890E1
4.510072190E-1,9.404723167E0,-4.285621047E-1,1.122671127E1,1.465167326E1
4.530226520E-1,9.047987938E0,-6.560112834E-1,1.106151104E1,1.430571435E1
4.550380850E-1,8.370428085E0,-8.020575643E-1,1.075265884E1,1.365016611E1
4.570818180E-1,7.855675220E0,-1.065419793E0,1.050845051E1,1.316336904E1
4.591255840E-1,7.309797287E0,-1.434126854E0,1.030733776E1,1.271735302E1
4.611693840E-1,6.797437668E0,-1.836352706E0,9.976937294E0,1.221133195E1
4.632130840E-1,6.579565525E0,-2.032677174E0,9.792584419E0,1.197151488E1
4.652567500E-1,6.091148376E0,-2.406172752E0,9.500492096E0,1.153911201E1
4.673003830E-1,5.504569054E0,-2.786850691E0,9.232340813E0,1.110418543E1
4.693439830E-1,5.205293655E0,-2.961627483E0,9.110237122E0,1.090241899E1
4.713875830E-1,4.491522312E0,-3.253720045E0,8.777442932E0,1.038286912E1
4.734311830E-1,3.555389643E0,-3.471592426E0,8.245929718E0,9.627466250E0
4.754747160E-1,2.588132143E0,-3.596091032E0,7.345710278E0,8.578447306E0
4.775183490E-1,2.171540976E0,-3.653551817E0,6.881235123E0,8.087980459E0
4.795620490E-1,1.489193439E0,-3.766079187E0,5.985803604E0,7.227094460E0
4.816057820E-1,8.714894056E-1,-3.857059002E0,5.214870453E0,6.544560472E0
4.836495150E-1,6.009446383E-1,-3.888183594E0,4.874594688E0,6.264246123E0
4.856932480E-1,1.699883193E-1,-3.974374771E0,4.223371983E0,5.801846409E0
4.877369810E-1,-1.436520964E-1,-4.098873138E0,3.888183594E0,5.651492598E0
4.897807140E-1,-2.873041928E-1,-4.149151325E0,3.818751812E0,5.646314357E0
4.918243800E-1,-5.674257874E-1,-4.256890774E0,3.758896589E0,5.707223025E0
4.938680130E-1,-9.481038451E-1,-4.376600742E0,3.517082214E0,5.694155096E0
4.959115790E-1,-1.340752959E0,-4.527435303E0,3.313575268E0,5.768454730E0
4.979534120E-1,-1.544260144E0,-4.616020679E0,3.193865061E0,5.821783261E0
4.999950780E-1,-2.015917778E0,-4.776432514E0,2.940079689E0,5.960058777E0
5.020366110E-1,-2.535459518E0,-4.850652695E0,2.844311714E0,6.168265207E0
5.040936110E-1,-3.050212860E0,-5.092766285E0,2.633621931E0,6.494307615E0
5.061506440E-1,-3.323152065E0,-5.162198067E0,2.580949545E0,6.659799478E0
5.082076440E-1,-3.854664803E0,-5.313032627E0,2.454056740E0,7.007792157E0
5.102646440E-1,-4.390965939E0,-5.475838661E0,2.365471363E0,7.406810764E0
5.123216770E-1,-4.668693542E0,-5.557241440E0,2.322375536E0,7.620568217E0
5.143787430E-1,-5.174169064E0,-5.698499203E0,2.236184359E0,8.015325268E0
5.164358090E-1,-5.700893402E0,-5.856516838E0,2.142810583E0,8.449296554E0
5.184645420E-1,-5.947496414E0,-5.930737019E0,2.087743998E0,8.654769216E0
5.204932420E-1,-6.433519363E0,-6.081571579E0,1.951274395E0,9.065492597E0
5.225218750E-1,-6.948272705E0,-6.230011940E0,1.821987510E0,9.508479418E0
5.245505080E-1,-7.472602844E0,-6.292261124E0,1.735796213E0,9.921962095E0
5.265790740E-1,-7.721599579E0,-6.428730965E0,1.525106430E0,1.016256028E1
5.286076740E-1,-8.198045731E0,-6.555623531E0,1.295263171E0,1.057647675E1
5.306362400E-1,-8.609848976E0,-6.641814709E0,1.048660398E0,1.092441718E1
5.326648060E-1,-8.803778648E0,-6.687304497E0,9.433154464E-1,1.109578316E1
5.346933390E-1,-9.134179115E0,-6.778284073E0,7.948749661E-1,1.140220107E1
5.367219050E-1,-9.344868660E0,-6.845322132E0,7.350199223E-1,1.160712108E1
5.396559050E-1,-9.593865395E0,-6.890811920E0,7.781155705E-1,1.183769428E1
5.418540960E-1,-9.811738014E0,-6.943484306E0,9.385270476E-1,1.205665833E1
5.438670960E-1,-9.936236382E0,-6.950666904E0,1.041477680E0,1.217067129E1
5.458810960E-1,-1.025466537E1,-6.902782917E0,1.271321058E0,1.242669832E1
5.478950960E-1,-1.058027649E1,-6.797437668E0,1.426944256E0,1.265636517E1
5.499087620E-1,-1.084842682E1,-6.670545101E0,1.484405041E0,1.282138817E1
5.519225120E-1,-1.097531986E1,-6.603507519E0,1.493981838E0,1.289557829E1
5.539363120E-1,-1.123389339E1,-6.538864136E0,1.551442742E0,1.309061036E1
5.559499780E-1,-1.148289108E1,-6.519710541E0,1.604115129E0,1.330175171E1
5.579635490E-1,-1.167203236E1,-6.526893139E0,1.678335428E0,1.347788868E1
