"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.072944690E0,2.348771667E1,4.084507942E0,2.475933838E1
7.074963290E0,2.326266289E1,3.952826977E0,2.448160934E1
7.076981890E0,2.273354340E1,3.682282209E0,2.361461067E1
7.079000456E0,2.217090607E1,3.428496838E0,2.252524757E1
7.081019022E0,2.188599586E1,3.332728863E0,2.191711998E1
7.083037655E0,2.138081932E1,3.210624456E0,2.064579964E1
7.085056355E0,2.092831612E1,3.177105665E0,1.928828812E1
7.087075121E0,2.071283722E1,3.177105665E0,1.859157562E1
7.089088121E0,2.029145813E1,3.222595453E0,1.719814873E1
7.091100987E0,1.980304146E1,3.306392431E0,1.586457920E1
7.093113820E0,1.929307556E1,3.406949043E0,1.463366032E1
7.095126686E0,1.902253151E1,3.445256233E0,1.403989792E1
7.097139552E0,1.843834496E1,3.524264812E0,1.286673927E1
7.099152485E0,1.783740044E1,3.560178041E0,1.172949314E1
7.101165418E0,1.752136612E1,3.557783842E0,1.118361568E1
7.103178284E0,1.682944298E1,3.543418407E0,1.017565632E1
7.105191117E0,1.614230728E1,3.495534420E0,9.241917610E0
7.107203917E0,1.579035854E1,3.459621429E0,8.798990250E0
7.109225550E0,1.505055046E1,3.356670856E0,7.893982410E0
7.111247250E0,1.432720184E1,3.251325846E0,7.000945091E0
7.113268916E0,1.359936523E1,3.145981073E0,6.088754177E0
7.115290516E0,1.322347546E1,3.090914488E0,5.655403614E0
7.117312049E0,1.251000309E1,3.019088268E0,4.817133904E0
7.119333549E0,1.182526112E1,2.923320293E0,4.005499363E0
7.121355082E0,1.113333702E1,2.853888512E0,3.234566450E0
7.123377782E0,1.079814911E1,2.820369720E0,2.875436306E0
7.125400548E0,1.012777233E1,2.770091295E0,2.221819162E0
7.127423348E0,9.505280495E0,2.695871115E0,1.659181833E0
7.129446114E0,9.189245224E0,2.655169725E0,1.414973259E0
7.131468880E0,8.581118584E0,2.578555346E0,1.015141487E0
7.133491613E0,8.006509781E0,2.492363930E0,7.661445141E-1
7.135514346E0,7.726387978E0,2.451662540E0,6.823474765E-1
7.137537079E0,7.168539047E0,2.363077164E0,5.793967843E-1
7.139559879E0,6.639420509E0,2.264914751E0,6.129156351E-1
7.141582645E0,6.378452778E0,2.224213362E0,6.584054828E-1
7.143633711E0,5.648221016E0,2.047042370E0,9.145850539E-1
7.145684777E0,5.447108269E0,2.003946781E0,1.036689281E0
7.147735810E0,5.052064896E0,1.910573006E0,1.326387763E0
7.149786843E0,4.733336926E0,1.845929503E0,1.673547029E0
7.151837909E0,4.474762917E0,1.800439715E0,2.059013367E0
7.153889009E0,4.359841347E0,1.790862918E0,2.269703150E0
7.155940042E0,4.180276394E0,1.793257117E0,2.683900118E0
7.157991075E0,4.024652958E0,1.819593310E0,3.069366693E0
7.160042041E0,3.960009575E0,1.824381709E0,3.244143248E0
7.162093007E0,3.847482204E0,1.824381709E0,3.560178041E0
7.164144040E0,3.713406801E0,1.829170108E0,3.823540211E0
7.166195106E0,3.665522814E0,1.831564307E0,3.921702385E0
7.168246172E0,3.593696833E0,1.836352706E0,4.082113743E0
7.170288372E0,3.552995205E0,1.869871497E0,4.225766182E0
7.172330472E0,3.552995205E0,1.903390408E0,4.292803764E0
7.174372572E0,3.588908434E0,1.989581585E0,4.410119534E0
7.176414672E0,3.653551817E0,2.142810583E0,4.501099110E0
7.178456838E0,3.785232782E0,2.286462545E0,4.520252705E0
7.180499004E0,3.876212597E0,2.355894566E0,4.498704910E0
7.182541170E0,4.216189384E0,2.647987127E0,4.357447147E0
7.184582103E0,4.326322556E0,2.743755102E0,4.288015366E0
7.186622936E0,4.441244125E0,2.837129116E0,4.216189384E0
7.188663702E0,4.666299343E0,3.055001259E0,4.062960148E0
7.190705968E0,4.879383087E0,3.277662039E0,3.907337189E0
7.192746668E0,4.975450516E0,3.380612850E0,3.828328609E0
7.194787334E0,5.159803867E0,3.567360640E0,3.651157618E0
7.196828000E0,5.315426826E0,3.746925592E0,3.476380825E0
7.198868633E0,5.399224281E0,3.828328609E0,3.392583847E0
7.200909266E0,5.566818237E0,3.979163170E0,3.205836058E0
7.202949899E0,5.703287601E0,4.127603531E0,3.004723072E0
7.204962265E0,5.849334240E0,4.206612587E0,2.894589901E0
7.206974631E0,5.918766022E0,4.374206543E0,2.657563925E0
7.208987064E0,6.040870190E0,4.522646904E0,2.449268341E0
7.210999530E0,6.170156956E0,4.642356873E0,2.291250944E0
7.213012030E0,6.234800339E0,4.697423935E0,2.229001760E0
7.215024563E0,6.383241177E0,4.819528103E0,2.178723574E0
7.217037129E0,6.536469936E0,4.925172329E0,2.214636564E0
7.219049695E0,6.608295918E0,4.970662117E0,2.269703150E0
7.221062328E0,6.723217487E0,5.056853294E0,2.434903145E0
7.223074994E0,6.778284073E0,5.123890877E0,2.645592928E0
7.226008994E0,6.756736279E0,5.164592266E0,2.868253708E0
7.227981374E0,6.672939301E0,5.147832870E0,3.062183857E0
7.229994374E0,6.507739544E0,5.064035892E0,3.222595453E0
7.232008374E0,6.416759968E0,5.001786709E0,3.292027235E0
7.234021374E0,6.234800339E0,4.821922302E0,3.371036053E0
7.236034707E0,6.000168800E0,4.596867085E0,3.440467834E0
7.238047957E0,5.892429829E0,4.479551315E0,3.473986626E0
7.240061157E0,5.684134007E0,4.249708176E0,3.579331636E0
7.242074323E0,5.478232861E0,4.036623955E0,3.706224203E0
7.244087608E0,5.231629848E0,3.837905407E0,3.835511208E0
7.246100858E0,5.116708279E0,3.746925592E0,3.897760391E0
7.248114191E0,4.903624535E0,3.596091032E0,4.007893562E0
7.250127591E0,4.699818134E0,3.524264812E0,4.053383350E0
7.252141045E0,4.613626480E0,3.418920040E0,4.151545525E0
7.254154461E0,4.465186119E0,3.361459255E0,4.247313976E0
7.256167845E0,4.352658749E0,3.315969467E0,4.326322556E0
7.258181202E0,4.311957359E0,3.308786631E0,4.352658749E0
7.260194535E0,4.264073372E0,3.315969467E0,4.410119534E0
7.262207972E0,4.302380562E0,3.337517262E0,4.474762917E0
7.264221442E0,4.343081951E0,3.366247654E0,4.510675907E0
7.266234775E0,4.472368717E0,3.452438831E0,4.594472885E0
7.268248090E0,4.666299343E0,3.550601006E0,4.695029736E0
7.270261340E0,4.771644115E0,3.596091032E0,4.750096321E0
7.272278863E0,4.980238914E0,3.722983599E0,4.857835293E0
7.274296272E0,5.219658852E0,3.825934410E0,4.934749126E0
7.276313532E0,5.444714069E0,3.900154591E0,4.961085320E0
7.278330657E0,5.535693645E0,3.938461781E0,4.958691120E0
7.280347657E0,5.703287601E0,4.019864559E0,4.946720123E0
7.282364580E0,5.846940041E0,4.129997730E0,4.941931725E0
7.284381431E0,5.916371822E0,4.187458992E0,4.929960728E0
7.286398181E0,6.024110794E0,4.283226967E0,4.920383930E0
7.288414801E0,6.107907772E0,4.355052948E0,4.949114323E0
7.290431401E0,6.146214962E0,4.386177540E0,4.965873718E0
7.292447967E0,6.237194538E0,4.441244125E0,4.965873718E0
7.294464567E0,6.337751389E0,4.505887508E0,4.982633114E0
7.296481133E0,6.392817974E0,4.532223701E0,4.994604111E0
7.298497699E0,6.526893139E0,4.577713490E0,4.965873718E0
7.300514265E0,6.708852291E0,4.647145271E0,4.908412933E0
7.302530865E0,6.890811920E0,4.735731125E0,4.836287498E0
7.304547465E0,7.094318867E0,4.838681698E0,4.707000732E0
7.306565798E0,7.173327446E0,4.891354084E0,4.625597477E0
7.308582331E0,7.295432091E0,4.999392509E0,4.481945515E0
7.310598864E0,7.333739281E0,5.052064896E0,4.402936935E0
7.312615397E0,7.374440670E0,5.128679276E0,4.268861771E0
7.314631963E0,7.386411667E0,5.176563263E0,4.158728123E0
7.316648596E0,7.381623268E0,5.181351662E0,4.101267338E0
7.318665229E0,7.374440670E0,5.176563263E0,4.005499363E0
7.320681895E0,7.352892876E0,5.169380665E0,3.938461781E0
7.322698495E0,7.326556683E0,5.162198067E0,3.938461781E0
7.324715095E0,7.300220490E0,5.133467674E0,3.988739967E0
7.326731795E0,7.288249016E0,5.133467674E0,4.120420933E0
7.328748528E0,7.235576630E0,5.107131481E0,4.297592163E0
7.330765328E0,7.175721645E0,5.092766285E0,4.400542736E0
7.332779161E0,7.051223278E0,5.020940304E0,4.589684486E0
7.334792927E0,6.895600319E0,4.915595531E0,4.786009312E0
7.336806693E0,6.821380138E0,4.862623692E0,4.874594688E0
7.338820459E0,6.653785706E0,4.750096321E0,5.042488098E0
7.340834259E0,6.529287338E0,4.642356873E0,5.174169064E0
7.342848025E0,6.469432354E0,4.587290287E0,5.231629848E0
7.344861758E0,6.364087582E0,4.484339714E0,5.317821026E0
7.346875424E0,6.277895927E0,4.376600742E0,5.370493889E0
7.348889090E0,6.244377136E0,4.333505154E0,5.401618481E0
7.350902623E0,6.136638165E0,4.259284973E0,5.449502468E0
7.352925423E0,6.052841187E0,4.223371983E0,5.509357452E0
7.354948256E0,5.954679012E0,4.177882195E0,5.533299446E0
7.356971156E0,5.902006626E0,4.149151325E0,5.535693645E0
7.358994089E0,5.806238174E0,4.125209332E0,5.569212437E0
7.361016989E0,5.720046997E0,4.127603531E0,5.578789234E0
7.363039889E0,5.674557209E0,4.139574528E0,5.600337029E0
7.365062655E0,5.648221016E0,4.189853191E0,5.626673222E0
7.367083655E0,5.643432617E0,4.213795185E0,5.645826817E0
7.369106355E0,5.669768810E0,4.266467571E0,5.664980412E0
7.371129021E0,5.691316605E0,4.290409565E0,5.667374611E0
7.373151654E0,5.715258598E0,4.340687752E0,5.653009415E0
7.375174287E0,5.732017994E0,4.364629745E0,5.621884823E0
7.377196887E0,5.724835396E0,4.376600742E0,5.600337029E0
7.379219487E0,5.679345608E0,4.417302132E0,5.540482044E0
7.381242053E0,5.631461620E0,4.441244125E0,5.423166275E0
7.383264586E0,5.585971832E0,4.436455727E0,5.353734493E0
7.385287086E0,5.487809658E0,4.429273129E0,5.198111057E0
7.388225086E0,5.353734493E0,4.467580318E0,4.910807133E0
7.390347374E0,5.305850029E0,4.467580318E0,4.802768707E0
7.392359374E0,5.193322659E0,4.486733913E0,4.613626480E0
7.394371374E0,5.104737282E0,4.525041103E0,4.426878929E0
7.396383874E0,5.056853294E0,4.529829502E0,4.328716755E0
7.398396540E0,4.965873718E0,4.541800499E0,4.173093796E0
7.400409290E0,4.932354927E0,4.551377296E0,4.029441357E0
7.402422090E0,4.932354927E0,4.563348293E0,3.969586372E0
